eps,mean,std,n
0.004,0.10475524266560869,0.11138186187453909,6
0.008,0.2178747008244196,0.19056800169956215,6
0.016,0.34281863768895465,0.17794793383143986,6
0.031,0.5394254277149836,0.1250638175500799,6
0.063,0.6457998802264532,0.06727000795656542,6
