method,param,misalign_defended,psnr_purify_clean,wall_seconds
bits,4.0,0.3902730345726013,34.40012454986572,23.538836002349854
jpeg,75.0,0.7168898582458496,37.33070373535156,14.565315246582031
blur,1.5,0.9300500750541687,31.803085803985596,8.348538160324097
